COMPANY NAME,COUNTRY / TERRITORY,2-LETTER CODE,ACCOUNTING CODE (PAX),AIRLINE PREFIX CODE
"Aero Nomad Airlines" LLC,Kyrgyzstan,KA,212,
"AIR GEORGIA" LTD dba Aircompany AIR GEORGIA,Georgia,DC*,,
"Airline "Weltall-avia",Russian Federation,W7*,,
"NOVAIR" Limited Liability Company,Armenia,NG,206,
"SHIRAK AVIA" Limited Liability Com,Armenia,5G*,740,
1263343 Alberta Ltd. dba Lynx Air,Canada,Y9,,
21 Air LLC,UNITED STATES OF AMERICA,2I*,,681
25only Aviation GmbH,Germany,4Q,,
2746904 Ontario Inc.,Canada,ZX,,
40-Mile Air, Ltd.,UNITED STATES OF AMERICA,Q5*,,
9 Air Co Ltd,People's Republic of China,AQ,902,902
9736140 Canada Inc. t/a Pascan,Canada,P6*,447,
A.P.G. Distribution System,France,A1,,
ABSA - Aerolinhas Brasileiras S.A dba LATAM Cargo Brasil,Brazil,M3,,549
ABX Air, Inc.,UNITED STATES OF AMERICA,GB,,832
AccesRail and Partner Railways,Canada,9B*,450,
Accounting Centre of China Aviation (ACCA),People's Republic of China,,280,
ACT Havayollari A.S.,Turkey,9T*,,556
Advanced Air, LLC,UNITED STATES OF AMERICA,AN,360,
Aegean Airlines,Greece,A3,390,390
Aeko Kula, LLC dba Aloha Air Cargo,UNITED STATES OF AMERICA,KH,,687
Aer Lingus Limited,Ireland,EI,053,053
Aer Lingus UK Limited,United Kingdom,EG,,
Aero Contractors Company Of Nigeria Limited,Nigeria,N2,,
Aero Dili Transport Services, S.A. dba AERO DILI,Timor-Leste,8G,,
Aero Express del Ecuador - Trans A,Ecuador,7T,,144
Aero FlightOps UK Limited,United Kingdom,FO*,,
Aero Micronesia Inc. dba Asia Pacific Airlines,Guam,P9*,,046
Aero Republica S.A.,Colombia,P5,845,845
Aero Transporte S.A.,Peru,4A,,
Aero-K Airlines Co. Ltd,Korea, Republic of,RF,711,
Aero4M d.o.o dba Amelia International,Slovenia,NL,152,
Aeroenlaces Nacionales S.A. de C.V.,Mexico,VB,333,333
AEROITALIA SRL dba AEROITALIA SRL,Italy,XZ,,
Aerolane Lineas Aerea Nacional dba Latam Airlines Ecuador,Ecuador,XL,462,462
Aerolinea del Caribe Peru S.A.C.,Peru,EF,,497
Aerolinea Del Caribe S.A. dba Aercaribe S.A.,Colombia,JK,,543
Aerolineas Argentinas S.A.,Argentina,AR,044,044
Aerolineas Sosa S.A de C.V.,Honduras,S0,,
Aerolink Uganda Limited,Uganda,A8*,,
Aerolitoral S.A. de C.V.,Mexico,5D,642,642
Aerologic GmbH,Germany,3S*,,278
Aeronova S.L. dba Air Europa Express,Spain,X5,,
Aeromongolia LLC,Mongolia,M0,970,970
Aerotranscargo SRL,Moldova, Republic of,F5,,227
Aerotransporte de Carga Union, S.A. dba Aerounion,Mexico,6R*,,873
Aerotransportes Mas de Carga S.A. de C.V. dba Masair,Mexico,M7,,865
Aerotransportes Rafilher,Mexico,ZV,,
Aerovias DAP S.A.,Chile,V5,,
Aerovias de Integracion Regional dba LATAM Airlines Colombia,Colombia,4C,035,
Aerovias De Mexico, S.A. De C.V.,Mexico,AM,139,139
Aerovias del Continente Americano S.A. AVIANCA,Colombia,AV,134,134
Aerro Direkt S.R.L.,Romania,4D*,,
Africa World Airlines Limited dba Africa World Airlines,Ghana,AW*,394,
African Express Airways,Kenya,XU,,
Afrijet Business Service dba Afrijet,Gabon,J7,277,277
Afriqiyah Airways dba Afriqiyah Airways,Libyan Arab Jamahiriya,8U,546,546
AHK Air Hong Kong Limited dba AHK Air Hong Kong Limited,Hong Kong (SAR), China,LD*,,288
AIR ALBANIA SHPK,Albania,ZB,667,
Air Algerie,Algeria,AH,124,124
Air Alsie A/S,Denmark,6I,248,
Air Arabia Abu Dhabi dba Air Arabia Abu Dhabi,United Arab Emirates,3L,049,049
Air Arabia dba Air Arabia PJSC,United Arab Emirates,G9,514,514
Air Arabia Egypt,Egypt,E5,844,844
Air Arabia Maroc,Morocco,3O,452,452
Air Atlanta Europe Ltd,Malta,CT*,,
Air Atlanta Icelandic,Iceland,CC,,318
Air Austral,France,UU,760,760
Air Baltic Corporation A/S,Latvia,BT,657,657
Air Belgium SA,Belgium,KF,142,142
Air Botswana,Botswana,BP,636,636
Air Burkina,Burkina Faso,2J,226,
Air Busan,Korea, Republic of,BX,982,982
Air Cairo,Egypt,SM,381,381
Air Caledonie,New Caledonia,TY,190,190
Air Caledonie International,New Caledonia,SB,063,063
Air Canada,Canada,AC,014,014
Air Canada Rouge LP dba Air Canada Rouge,Canada,RV,,
Air Caraibes,Guadeloupe,TX,427,427
Air Cargo Carriers, LLC.,UNITED STATES OF AMERICA,2Q,,
Air Century, S.A.,Dominican Republic,Y2,,
Air Charter, Inc. dba Air Flamenco,Puerto Rico,F4,,401
Air Chathams Limited t/a Air Chathams,New Zealand,3C,850,
Air China Cargo,People's Republic of China,CA*,,999
Air China LTD,People's Republic of China,CA,999,
Air Company "Sky Gates Airlines" Limited Liability Company,Russian Federation,U3,,728
Air Company Sirius-Aero Ltd,Russian Federation,SA*,,
Air Corsica,France,XK,146,146
Air Cote D'Ivoire,Cote d'Ivoire,HF,483,
Air Creebec (1994) Inc.,Canada,YN,219,219
Air Djibouti SAS,Djibouti,DJ,,
AIR DOLOMITI S.p.A. LINEE AEREE REGIONALI EUROPEE,Italy,EN,101,101
Air Europa Lineas Aereas, S.A.,Spain,UX,996,996
Air Excursion, LLC,UNITED STATES OF AMERICA,X4,042,
Air Express S.A. dba Airclass Lineas Aereas,Uruguay,VZ*,,510
Air France,France,AF,057,057
Air Ghana Limited dba Air Ghana,Ghana,,,458
Air Greenland A/S,Greenland,GL,631,631
Air Guilin Co. Ltd.,People's Republic of China,GT,730,730
Air Horizont Ltd.,Malta,HT*,,
Air Incheon Co, Ltd,Korea, Republic of,KJ,,994
AIR INDIA EXPRESS LTD dba AIR INDIA EXPRESS,India,IX*,,236
Air India Limited dba Air India,India,AI,098,098
Air Inter Transport Company Limited dba Budget Lines,Thailand,BD,,765
Air Inuit Ltd/Ltee,Canada,3H,466,466
Air Japan Co., Ltd.,Japan,NQ,,
Air Juan Aviation, Inc.,Philippines,AO,,
Air KBZ Company Limited dba Air KBZ Company Limited,Myanmar,K7,314,
Air Kilroe Limited t/a Eastern Airways,United Kingdom,T3,467,
Air Kiribati Limited dba Air Kiribati,Kiribati,IK,069,069
Air Koryo,Korea, Democratic People's Republic of,JS,120,120
Air Libya dba Air Libya,Libyan Arab Jamahiriya,7I,,
AIR LINK PTY. LIMITED dba Altitude Aviation Australia,Australia,LZ,,
Air Macau Company Limited,Macao (SAR), China,NX,675,675
Air Madagascar dba Air Madagascar,Madagascar,MD,258,258
Air Malta p.l.c.,Malta,KM,643,643
Air Manas Air Company Limited Liability Company dba Air Manas Air Company LLC,Kyrgyzstan,ZM,887,887
Air Mauritius Ltd,Mauritius,MK,239,239
Air Mediterranean S.A.,Greece,MV,012,012
Air Mobility Command,UNITED STATES OF AMERICA,MC,,
AIR MOLDOVA,Moldova, Republic of,9U,572,572
Air New Zealand Limited,New Zealand,NZ,086,086
Air Niugini Limited,Papua New Guinea,PX,656,656
Air North Charter and Training Ltd.,Canada,4N,287,287
Air Nostrum,Spain,YW,694,694
Air Pacific Limited t/a Fiji Airways,Fiji,FJ,260,260
Air Panama,Panama,7P,600,
Air Peace Limited,Nigeria,P4,710,710
Air Philippines Corporation dba PAL Express and Airphil Express,Philippines,2P,211,211
Air Premia Inc,Korea, Republic of,YP,350,350
Air Rarotonga Ltd,Cook Islands,GZ,755,
Air Saint Pierre,St. Pierre and Miquelon,PJ,638,638
Air Senegal S.A.,Senegal,HC,490,
Air Seoul, Inc,Korea, Republic of,RS,820,820
Air Seychelles Limited,Seychelles,HM,061,061
Air Sial Limited,Pakistan,PF,673,
Air Tahiti,French Polynesia,VT,135,135
Air Tahiti Nui,French Polynesia,TN,244,244
Air Thanlwin Limited dba Air Thanlwin Limited,Myanmar,ST,363,
Air Tanzania Company Limited,Tanzania, United Republic of,TC,197,197
Air Transat,Canada,TS,649,649
Air Tindi Ltd.,Canada,8T*,,
Air Transport Association of Americ d\b\a Airlines for America,UNITED STATES OF AMERICA,XD,,
Air Transport International Inc.,UNITED STATES OF AMERICA,8C,,813
Air Travel Co. Ltd.,People's Republic of China,A6,389,389
Air Vanuatu (Operations) Limited dba Air Vanuatu,Vanuatu,NF,218,218
Air Wisconsin Airlines Corporation (AWAC),UNITED STATES OF AMERICA,ZW,303,303
Air X Charter Ltd,Malta,AX*,,247
Air Zimbabwe (Pvt) Ltd.,Zimbabwe,UM,168,168
AIR4 Passenger Service Systems, LLC,UNITED STATES OF AMERICA,D1,,
AirAsia (India) Limited AIRASIA,India,I5,091,091
AirAsia Berhad dba AirAsia,Malaysia,AK,807,807
Airasia X Berhad dba Airasia X,Malaysia,D7,843,843
AirBridgeCargo Airlines LLC,Russian Federation,RU,,580
Airbus Transport International,France,4Y*,,
Aircompany Armenia LLC,Armenia,RM,437,437
Aircompany JONIKA Limited Liability Company dba "AC "Jonica" LLC,Ukraine,JO,,
AIRCOMPANY NORTH-WEST LIMITED LIABILITY COMPANY,Russian Federation,0E*,,
Aircompany Somon Air LLC dba Somon Air,Tajikistan,SZ,413,413
Airdo Co.,Ltd.,Japan,HD,,
AirExplore, s.r.o.,Slovakia,ED,,
Airhub Airlines Limited,Malta,AH*,,521
AirKenya Express Ltd,Kenya,P2,,
Airline Allied Services Limited dba Alliance Air,India,9I,,
Airline Container Leasing Inc.,UNITED STATES OF AMERICA,JG*,,
Airline GEO SKY LLC dba Airline GEO SKY,Georgia,D4,,330
Airlines Clearing House Inc.,UNITED STATES OF AMERICA,XD,,
Airlines Reporting Corporation Area Settlement Plan,UNITED STATES OF AMERICA,XD,889,
Airlink (PTY) LTD dba Airlink,South Africa,4Z,749,749
