Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
3M Company;MMM;1405105;US;CHF;XSWX;Registered Share;0.01;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;FALSE;
ABB Ltd;ABBN;1222171;CH;CHF;XSWX;Registered Share;0.12;International Reporting Standard;US GAAP;23.03.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Abbott Laboratories;ABT;903037;US;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;Ernst & Young LLP - US;No;;FALSE;
Achiko AG;ACHI;52221346;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;;31.12.;Grant Thornton AG - CH[500038];No;;TRUE;
Addex Therapeutics Ltd;ADXN;2985075;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;BDO AG - CH[500705];No;;TRUE;Out
Adecco Group AG;ADEN;1213860;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;US GAAP;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Adval Tech Holding AG;ADVN;896792;CH;CHF;XSWX;Registered Share;20.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Deloitte AG - CH[500420];No;;TRUE;
AEVIS VICTORIA SA;AEVS;47863410;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Berney Associés Audit SA - CH;No;;TRUE;
Airesis SA;AIRE;1094762;CH;CHF;XSWX;Registered Share;0.25;International Reporting Standard;IFRS;;31.12.;Mazars SA - CH[500241];No;;TRUE;Out
Alcon Inc.;ALC;43249246;CH;CHF;XSWX;Registered Share;0.04;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Allreal Holding AG;ALLN;883756;CH;CHF;XSWX;Registered Share;1.00;Standard for Real Estate Companies;Swiss GAAP FER;21.04.2023;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Alpine Select AG;ALPN;1919955;CH;CHF;XSWX;Registered Share;0.02;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;BDO AG - CH[500705];No;;TRUE;
ALSO Holding AG;ALSN;2459027;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Aluflexpack AG;AFP;45322689;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;
ams-OSRAM AG;AMS;24924656;AT;CHF;XSWX;Bearer Share;0.00;International Reporting Standard;IFRS;;31.12.;KPMG Wirtschaftsprüfungs- und Steuerberatungs GmbH - AT;Yes;Global Reporting Initiative (GRI);TRUE;
Anglo American plc;AAM;3186826;GB;CHF;XSWX;Registered Share;0.55;International Reporting Standard;;;;Deloitte & Touche LLP - GB;No;;FALSE;
APG SGA SA;APGN;1910702;CH;CHF;XSWX;Registered Share;2.60;Swiss Reporting Standard;Swiss GAAP FER;27.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
